Age,Gender,Occupation,ScreenTime,SocialMedia,Gaming,Streaming,WorkEducation,Unlocks,AppSwitching,Notifications,LateNightUsage,SleepHours,MoodScore,PhysicalActivity,HeartRate,AddictionLevel
58,Female,Unemployed,12.2,1.3,2.1,3.4,3.4,65,11,386,3.0,4.4,5,2.2,80,Moderate
62,Other,Unemployed,7.1,1.4,3.1,1.5,0.1,25,48,65,0.9,4.7,6,1.7,76,Low
55,Male,Professional,11.5,4.2,1.1,4.6,0.6,153,33,191,1.9,4.8,9,2.0,86,High
63,Other,Self-employed,13.7,4.9,0.6,4.3,3.1,106,13,115,3.2,4.0,2,1.6,83,High
14,Female,Professional,14.1,5.5,3.2,2.6,1.7,71,53,137,2.6,8.1,10,0.5,82,High
48,Female,Professional,14.8,5.0,1.0,1.4,6.5,24,11,235,0.1,8.5,1,2.6,80,Moderate
62,Female,Student,18.9,5.9,3.5,2.7,5.4,233,18,88,2.7,4.2,2,1.2,87,High
18,Male,Student,12.9,2.7,0.7,1.2,7.8,60,34,355,0.8,5.2,2,0.6,81,Moderate
32,Female,Professional,15.5,2.3,3.4,1.7,7.1,167,28,476,3.7,5.7,8,2.9,83,High
20,Male,Student,14.7,0.7,3.1,2.7,7.8,167,55,592,3.7,8.0,7,2.0,86,High
50,Other,Professional,9.4,3.0,2.4,0.6,2.9,186,38,113,3.4,5.2,2,2.8,81,High
29,Female,Student,17.0,4.1,3.4,3.9,3.9,49,12,134,0.8,6.0,2,0.7,73,High
15,Female,Unemployed,12.3,5.0,1.3,1.4,3.0,67,59,307,0.5,8.9,9,1.9,75,Moderate
36,Female,Student,16.4,2.0,0.7,4.4,7.7,228,5,348,3.6,8.1,2,1.3,88,High
25,Other,Student,8.8,3.3,0.6,0.6,3.2,207,38,107,1.9,4.5,9,0.1,84,High
61,Female,Unemployed,10.6,4.1,1.1,2.9,0.9,142,24,162,3.5,5.6,6,1.4,81,High
20,Male,Professional,12.2,3.5,1.8,4.0,2.0,170,35,135,3.4,6.9,1,1.0,85,High
37,Other,Student,11.4,2.0,3.5,1.6,3.4,123,19,318,3.4,7.4,10,0.3,79,High
64,Other,Student,15.1,4.9,0.4,3.7,4.8,207,19,561,0.9,7.2,6,2.2,77,High
13,Other,Unemployed,15.4,1.5,3.7,3.7,4.9,197,55,172,2.6,4.4,1,1.6,87,High
31,Other,Unemployed,19.5,5.5,3.7,3.4,6.1,135,38,517,3.8,9.0,6,0.1,95,High
39,Other,Unemployed,17.5,5.7,2.9,2.1,5.2,32,9,157,1.3,4.9,1,0.7,75,High
58,Male,Self-employed,16.0,2.5,3.6,4.0,3.9,129,58,272,2.6,4.9,6,2.9,81,High
18,Other,Unemployed,10.5,2.6,3.1,3.3,0.2,247,26,459,1.5,5.2,10,2.2,80,High
55,Female,Professional,16.5,4.6,2.1,3.2,5.6,221,59,294,1.1,6.1,3,2.8,76,High
19,Other,Student,11.1,3.0,2.4,4.2,0.7,57,16,271,3.3,5.6,6,1.7,77,High
58,Other,Student,9.6,0.7,2.5,1.6,3.8,58,49,378,0.8,6.6,3,2.5,79,Low
46,Other,Self-employed,16.1,5.6,0.5,1.5,7.2,122,35,472,0.4,8.6,10,1.5,77,High
25,Other,Student,12.6,2.9,0.8,2.2,4.8,215,58,294,1.1,4.2,6,1.5,77,High
28,Other,Student,7.0,1.6,2.1,0.8,1.6,166,33,593,1.8,5.9,6,0.6,86,Moderate
47,Male,Professional,13.3,3.6,0.5,2.0,6.5,199,26,125,3.2,8.9,7,2.4,86,High
61,Male,Student,12.2,1.7,3.9,2.3,2.4,188,52,429,0.9,5.2,6,1.5,80,High
51,Other,Professional,12.4,1.6,2.0,2.7,4.6,141,12,140,3.6,8.1,6,0.6,74,Moderate
15,Male,Self-employed,13.4,3.5,1.5,1.6,5.1,111,41,351,2.2,6.0,6,1.3,74,High
13,Female,Professional,15.5,2.7,0.6,4.6,5.8,46,32,587,2.9,8.6,9,1.4,84,High
17,Other,Unemployed,8.2,3.7,1.7,1.8,0.5,170,25,156,1.0,7.2,7,0.1,82,High
53,Female,Unemployed,19.6,6.0,1.2,4.3,6.8,146,15,255,3.4,8.5,8,2.2,84,High
15,Female,Self-employed,9.7,5.2,0.4,2.5,0.9,38,15,444,0.1,7.2,2,0.1,72,Low
40,Other,Student,10.3,0.5,3.9,3.7,0.8,99,27,57,0.8,8.5,3,1.7,77,Low
29,Female,Professional,8.4,0.8,1.1,1.0,3.7,182,46,64,3.1,8.5,2,1.9,81,Moderate
37,Female,Unemployed,13.1,3.9,2.8,3.0,3.0,152,17,242,0.3,5.5,5,0.1,79,High
55,Female,Professional,10.5,3.9,0.4,4.8,0.4,107,47,550,2.4,8.2,8,1.0,82,Moderate
45,Other,Unemployed,15.8,5.3,3.7,3.5,1.3,152,31,55,2.9,8.2,5,2.3,78,High
21,Other,Professional,14.5,4.0,2.4,4.2,3.5,112,27,164,2.3,7.5,2,0.4,75,High
47,Female,Student,13.4,1.8,2.6,1.7,6.6,25,55,115,0.4,5.2,2,1.5,72,Moderate
25,Other,Self-employed,11.9,3.1,3.1,4.1,1.0,60,37,144,2.4,4.5,10,0.3,81,High
42,Other,Student,11.9,4.9,2.4,2.1,0.8,60,57,230,2.4,7.1,2,2.9,86,High
59,Female,Professional,16.6,5.6,0.3,2.7,6.4,201,30,68,1.9,7.3,4,0.7,81,High
26,Other,Unemployed,10.5,1.8,1.7,1.3,3.9,191,47,574,1.5,8.9,10,1.3,88,High
19,Male,Unemployed,11.7,3.5,1.0,2.7,2.9,67,40,173,1.0,6.0,5,1.3,79,Moderate
25,Other,Self-employed,11.6,1.4,1.9,2.8,3.7,184,37,313,0.3,7.6,6,1.8,82,High
34,Male,Student,13.1,3.2,1.6,3.3,3.3,112,57,426,0.1,8.4,7,1.0,80,Moderate
51,Female,Student,16.2,1.0,3.3,4.4,6.3,203,42,141,3.2,8.0,8,1.4,80,High
32,Other,Student,10.2,5.7,1.0,1.9,0.1,52,59,396,2.1,6.0,5,2.8,78,Moderate
27,Female,Unemployed,14.6,4.0,0.8,4.9,3.5,238,20,166,0.6,5.2,3,0.2,70,High
56,Female,Self-employed,15.7,5.2,3.8,4.3,1.3,182,14,343,0.4,4.2,5,0.0,79,High
29,Female,Unemployed,16.3,6.0,3.8,2.3,2.5,121,47,411,0.4,7.8,1,3.0,87,High
58,Female,Student,9.6,1.5,4.0,1.5,0.9,131,52,238,0.6,5.9,7,1.4,81,Moderate
64,Female,Professional,11.6,4.3,2.3,0.8,3.4,153,45,351,0.1,6.5,8,1.0,70,Moderate
35,Other,Unemployed,13.1,5.4,0.5,1.6,5.1,65,48,467,3.1,8.9,6,0.6,77,Moderate
37,Male,Self-employed,17.9,3.7,3.5,4.5,5.3,93,56,586,1.5,4.0,6,2.0,78,High
36,Other,Student,13.9,4.0,0.6,1.8,6.4,55,21,562,1.2,5.4,9,1.9,80,Moderate
56,Other,Professional,11.8,2.7,0.6,1.1,6.5,191,56,508,1.8,8.9,7,0.8,76,Moderate
52,Other,Unemployed,12.2,4.2,0.8,0.6,4.8,154,47,320,1.2,6.4,8,0.7,73,High
40,Other,Professional,10.5,2.7,2.6,1.8,2.8,154,27,523,2.8,8.7,6,2.5,84,High
26,Male,Professional,6.7,3.1,0.4,1.5,0.4,48,5,215,1.2,8.3,5,2.2,80,Low
56,Other,Self-employed,6.0,1.1,3.1,1.0,0.3,227,33,210,2.5,7.6,7,2.3,79,Moderate
12,Female,Unemployed,7.8,0.5,0.2,4.8,0.9,84,29,460,1.5,7.6,4,1.4,77,Low
36,Other,Self-employed,12.0,0.8,0.4,1.7,7.9,79,10,485,1.6,4.0,10,0.9,82,Moderate
18,Other,Student,11.8,1.6,1.7,0.5,6.3,131,14,317,3.1,5.5,5,1.5,81,High
20,Male,Professional,14.1,3.0,1.5,4.7,3.2,54,44,427,2.1,6.2,6,1.8,75,High
35,Male,Self-employed,13.2,0.6,4.0,3.1,3.7,204,58,494,1.6,6.6,9,2.2,77,High
12,Female,Self-employed,13.3,1.4,3.9,0.9,5.9,48,18,470,1.3,6.2,2,1.4,76,High
55,Other,Student,12.0,4.8,0.8,0.6,4.1,57,27,55,2.6,6.2,7,2.1,76,Moderate
19,Other,Unemployed,13.9,4.7,3.8,1.0,2.9,224,23,264,2.5,8.3,5,1.6,82,High
35,Other,Self-employed,15.2,4.8,2.8,3.2,2.8,159,57,512,0.3,8.8,10,0.5,79,High
22,Female,Professional,11.1,5.6,1.6,0.8,1.7,106,35,432,2.7,8.2,2,0.2,87,High
62,Male,Professional,15.8,1.2,3.0,3.1,7.1,129,43,397,1.8,7.5,2,1.7,85,High
28,Female,Professional,12.9,1.4,3.6,3.4,3.3,99,43,441,3.9,7.7,2,1.4,80,High
19,Other,Professional,10.9,2.3,0.7,1.2,6.0,205,42,567,1.9,7.7,8,1.1,81,High
46,Male,Self-employed,14.7,5.5,0.8,2.7,4.6,97,23,237,3.8,8.0,3,1.7,90,High
46,Male,Professional,18.0,4.8,1.6,4.8,6.0,99,47,203,3.2,4.3,6,2.1,92,High
44,Female,Self-employed,11.2,2.3,0.7,4.3,2.6,153,5,226,3.9,4.4,7,0.7,80,High
16,Male,Unemployed,13.1,1.0,1.4,3.8,6.0,55,42,176,0.8,4.5,6,1.6,84,Moderate
53,Male,Professional,17.6,3.9,2.6,2.8,6.3,71,17,191,1.3,8.6,7,0.7,78,High
50,Other,Unemployed,9.2,1.9,3.3,2.3,0.8,107,54,475,2.4,7.1,4,1.9,84,Moderate
52,Other,Self-employed,8.5,3.4,1.2,2.5,0.7,134,38,418,0.4,6.3,8,1.7,74,Low
39,Male,Student,20.5,5.7,1.1,3.9,7.9,46,21,472,2.8,7.9,5,2.1,85,High
18,Male,Unemployed,11.8,3.6,3.1,3.0,0.9,44,36,302,1.1,5.1,1,2.5,81,High
20,Female,Professional,17.6,5.6,1.5,3.9,5.5,187,53,297,0.6,8.0,4,1.0,78,High
19,Female,Student,18.6,2.7,3.3,4.9,6.0,183,38,65,0.2,5.7,1,2.7,81,High
23,Male,Unemployed,13.3,4.0,4.0,3.4,0.5,207,37,446,1.7,7.2,6,0.2,89,High
45,Other,Self-employed,19.8,5.4,3.9,3.2,6.0,48,48,163,0.5,8.9,6,1.9,83,High
44,Male,Self-employed,13.1,3.7,2.7,2.3,3.4,114,32,463,2.0,4.4,3,0.9,89,High
59,Male,Self-employed,9.9,3.9,1.5,1.4,2.2,22,48,190,1.6,8.8,10,2.2,78,Low
34,Other,Unemployed,13.6,4.4,0.3,2.2,5.3,160,33,388,3.5,7.8,6,0.0,89,High
35,Other,Self-employed,19.1,5.4,3.0,2.8,6.7,87,58,204,0.3,6.2,7,2.5,77,High
48,Female,Unemployed,11.1,1.0,3.9,0.7,4.6,158,41,471,3.4,4.5,4,2.5,84,High
46,Female,Professional,13.0,2.4,0.3,2.6,7.0,195,28,541,2.9,4.6,7,1.5,85,High
55,Female,Professional,9.0,2.7,0.0,4.4,0.2,226,52,87,2.6,6.9,10,2.8,74,Moderate
51,Female,Unemployed,21.2,5.5,3.3,4.9,5.9,79,20,228,3.9,6.6,10,1.2,94,High
33,Other,Unemployed,13.9,5.8,0.4,4.3,1.4,21,17,200,0.2,6.7,1,2.7,78,Moderate
38,Male,Student,6.3,1.2,0.3,1.3,2.3,98,30,95,2.0,5.4,9,0.0,82,Low
46,Female,Self-employed,12.6,1.2,3.6,1.2,4.6,217,11,560,2.9,4.5,10,1.2,81,High
12,Female,Professional,11.6,5.6,0.3,2.3,2.2,130,48,163,2.1,8.0,3,0.2,78,High
46,Other,Professional,6.7,2.1,0.5,1.5,1.3,32,18,482,1.3,5.1,6,0.6,74,Low
48,Other,Student,15.5,1.8,2.3,3.5,7.1,54,56,449,0.1,7.2,9,1.3,85,Moderate
58,Male,Unemployed,12.6,0.7,3.0,0.9,7.3,70,36,316,2.6,5.8,2,2.0,76,Moderate
25,Male,Unemployed,8.3,2.0,1.6,2.5,0.3,127,45,459,3.5,7.2,3,0.9,79,Moderate
14,Other,Student,13.7,4.3,1.7,1.8,4.0,132,15,282,2.9,7.8,7,0.7,88,High
12,Female,Self-employed,11.5,2.8,2.5,3.2,1.6,75,36,64,0.2,5.0,10,2.6,70,Moderate
16,Female,Unemployed,17.3,3.3,2.0,4.1,6.9,59,15,235,2.8,4.1,7,0.2,88,High
37,Female,Unemployed,15.9,5.5,0.1,4.7,3.7,224,24,387,3.0,5.4,7,2.5,79,High
25,Male,Self-employed,11.9,1.1,0.5,4.8,3.8,206,56,67,2.7,8.8,9,0.1,73,Moderate
50,Female,Self-employed,11.1,0.9,2.3,2.1,5.0,31,38,246,2.4,4.9,5,0.0,72,Low
38,Female,Student,14.1,5.2,3.2,4.4,0.4,35,51,335,2.8,6.4,10,2.8,81,High
20,Other,Student,12.5,4.8,3.1,3.2,1.0,200,54,208,2.3,5.9,7,1.0,83,High
26,Female,Student,13.9,2.0,3.0,3.6,4.0,135,58,412,1.9,5.5,7,0.5,76,High
26,Other,Unemployed,18.7,2.3,3.1,4.3,7.7,60,26,516,2.1,7.7,10,0.6,84,High
37,Female,Student,11.0,2.2,0.2,1.1,6.7,167,27,259,0.3,7.6,9,1.9,79,Moderate
53,Male,Unemployed,20.5,4.1,3.6,4.8,7.1,187,33,545,2.1,7.9,7,2.5,92,High
24,Female,Professional,10.4,0.8,3.6,3.0,1.1,80,16,180,2.8,5.7,4,1.3,74,Moderate
62,Female,Self-employed,16.5,3.2,2.1,2.0,7.7,224,43,579,2.0,5.8,6,0.7,91,High
43,Other,Self-employed,11.9,1.2,1.0,2.0,5.8,53,35,405,2.2,6.7,6,0.9,87,Moderate
50,Other,Professional,15.6,5.0,2.4,3.9,2.6,38,33,485,3.1,4.0,2,0.6,84,High
60,Other,Student,17.2,2.6,2.2,3.6,6.9,192,35,337,0.6,8.8,4,0.6,73,High
63,Female,Unemployed,14.6,3.4,0.9,3.8,6.0,110,16,214,3.0,5.2,8,1.7,87,High
43,Female,Unemployed,11.5,0.7,2.4,1.6,5.9,48,39,120,1.5,4.9,1,1.6,78,Moderate
15,Male,Unemployed,12.3,0.8,3.2,1.3,5.9,38,46,333,3.1,7.2,8,2.0,90,High
41,Female,Self-employed,19.1,4.2,3.2,3.7,6.4,203,59,81,0.9,8.2,7,0.5,77,High
48,Male,Student,15.8,4.7,0.2,1.8,7.6,46,45,218,3.2,7.2,7,0.1,89,High
34,Other,Unemployed,8.7,4.4,0.8,1.5,1.1,149,31,469,3.2,7.1,6,1.7,77,High
50,Other,Unemployed,17.5,4.6,2.7,1.5,8.0,187,19,135,1.3,6.4,5,2.6,79,High
56,Other,Unemployed,13.8,1.1,3.4,1.2,7.0,122,34,59,3.2,8.5,6,2.1,73,Moderate
26,Male,Professional,13.2,4.3,2.1,2.4,3.5,212,11,578,0.5,8.8,1,0.7,82,High
54,Female,Unemployed,9.2,1.5,2.8,1.7,1.3,97,40,401,3.2,7.0,1,1.3,88,Moderate
40,Other,Professional,11.2,1.0,0.1,4.5,3.6,27,50,188,0.6,4.4,3,0.6,74,Low
47,Female,Unemployed,17.6,4.7,2.4,3.6,6.2,46,28,350,3.9,4.5,5,0.5,93,High
24,Female,Unemployed,19.5,5.4,3.8,3.8,4.8,244,22,176,2.3,6.1,9,2.6,77,High
43,Other,Unemployed,12.5,4.4,2.6,2.3,2.2,242,28,578,3.1,6.5,5,0.5,90,High
18,Male,Professional,16.7,4.9,3.7,3.2,3.3,177,36,241,2.3,7.2,3,2.1,87,High
62,Female,Unemployed,20.3,6.0,2.3,2.8,7.6,172,16,524,2.3,9.0,5,1.1,93,High
33,Other,Student,12.9,1.2,3.4,1.3,6.4,68,32,256,1.9,7.5,2,0.8,84,Moderate
39,Female,Unemployed,9.6,5.8,0.5,0.7,1.0,75,15,310,0.6,8.4,6,2.8,79,Moderate
13,Female,Professional,14.1,3.8,0.5,3.6,4.4,119,7,156,1.1,8.7,10,2.7,82,High
53,Female,Professional,14.8,5.0,0.5,1.0,7.4,121,41,382,3.7,5.0,7,0.7,86,High
56,Female,Student,7.7,4.1,2.0,0.8,0.3,84,7,91,1.5,5.7,1,1.2,74,Low
64,Female,Self-employed,9.1,3.6,1.3,2.5,0.3,50,33,397,0.2,7.4,7,2.1,72,Low
17,Male,Student,18.1,4.4,2.9,3.8,5.7,246,36,180,3.2,7.3,8,2.4,87,High
39,Male,Student,16.3,2.3,3.6,4.0,4.6,79,58,146,2.9,6.1,2,1.3,88,High
39,Other,Professional,14.0,5.6,2.5,4.4,0.4,232,42,554,1.2,8.3,3,2.7,89,High
55,Male,Unemployed,12.5,1.1,0.9,1.4,8.0,181,35,334,1.5,8.9,3,1.3,79,Moderate
55,Male,Unemployed,17.1,2.2,3.7,4.9,4.6,164,5,511,2.0,6.0,1,0.3,91,High
31,Male,Self-employed,11.3,0.7,2.1,3.9,3.9,92,41,227,0.6,5.7,9,2.9,71,Moderate
41,Female,Self-employed,10.2,2.0,2.9,1.2,3.6,48,25,266,4.0,5.4,8,2.8,86,Moderate
22,Female,Self-employed,16.4,1.7,3.6,4.3,5.6,219,50,442,1.5,6.8,3,2.3,84,High
39,Other,Self-employed,11.8,0.8,4.0,2.7,3.7,230,45,61,3.4,7.1,5,2.7,86,High
36,Other,Student,13.2,3.2,2.0,0.8,5.3,153,46,361,3.3,4.9,4,1.9,88,High
50,Other,Student,12.8,3.1,3.2,1.1,3.9,107,24,566,1.1,5.4,9,1.2,75,High
44,Female,Unemployed,12.2,0.9,2.3,2.5,4.9,145,58,526,0.3,4.6,5,1.1,73,Moderate
12,Male,Student,14.1,1.9,1.9,2.9,6.4,25,15,226,1.8,8.5,2,0.9,72,Moderate
38,Male,Unemployed,20.4,5.7,2.2,4.8,6.5,123,14,325,0.9,7.2,2,2.1,79,High
63,Female,Unemployed,12.0,1.1,1.9,1.5,6.8,150,59,334,1.5,6.8,1,0.9,73,Moderate
24,Other,Unemployed,8.9,2.2,1.7,2.6,1.6,114,7,296,3.7,8.6,5,1.0,87,Moderate
52,Other,Unemployed,6.9,0.7,2.9,1.5,0.5,178,52,260,2.3,8.9,5,1.5,81,Low
14,Other,Professional,12.9,1.3,1.0,3.0,6.7,95,58,341,1.7,4.1,3,1.3,83,High
50,Female,Unemployed,13.6,4.3,2.5,4.6,0.3,199,18,146,2.4,8.0,5,0.1,78,High
17,Other,Student,12.1,2.5,2.9,3.1,1.7,155,49,207,0.4,6.7,8,1.3,73,High
19,Other,Student,14.1,3.0,3.6,2.8,4.2,109,49,238,3.0,4.0,3,1.5,82,High
38,Female,Student,15.0,1.4,1.3,3.9,6.8,45,35,301,2.3,6.1,4,1.7,75,Moderate
20,Male,Student,16.7,4.3,3.4,1.2,7.2,162,39,400,3.9,7.9,3,2.6,85,High
48,Female,Professional,19.4,4.6,3.8,4.6,5.0,224,58,434,1.6,7.7,6,1.0,83,High
44,Female,Self-employed,15.8,1.5,2.6,3.1,7.7,203,53,516,0.7,8.6,7,2.1,75,High
62,Female,Self-employed,15.2,0.7,3.1,3.6,5.8,105,13,360,0.7,7.1,7,2.8,72,Moderate
53,Female,Unemployed,12.8,0.9,1.6,4.2,4.2,141,58,159,3.4,5.1,2,2.8,87,High
55,Male,Unemployed,13.7,4.1,3.8,3.4,1.1,146,10,155,1.8,7.6,7,2.8,82,High
35,Other,Student,11.5,1.2,2.7,3.4,3.4,81,33,592,1.2,8.9,1,2.5,82,Moderate
26,Female,Student,16.5,3.2,1.2,3.8,6.6,160,56,113,3.2,8.4,10,1.7,75,High
43,Male,Self-employed,7.2,1.3,1.6,0.7,2.3,65,50,325,2.9,4.0,10,2.1,75,Low
43,Other,Self-employed,12.2,1.4,2.5,2.2,4.6,201,57,425,3.6,6.2,2,0.2,86,High
35,Other,Student,15.7,0.5,0.9,4.8,7.9,28,56,334,3.5,5.0,2,0.6,84,Moderate
52,Other,Unemployed,9.5,2.3,3.0,1.7,1.4,107,26,280,0.4,6.5,8,3.0,77,Moderate
63,Female,Professional,6.2,1.0,0.9,2.9,0.8,22,59,232,0.7,6.0,3,0.1,72,Low
60,Female,Professional,13.7,2.7,2.4,1.3,6.4,170,53,594,1.8,6.8,5,0.1,77,High
60,Other,Self-employed,9.9,3.8,2.8,2.0,0.2,31,50,230,3.6,8.1,4,0.7,83,Moderate
63,Other,Self-employed,15.9,2.5,3.4,3.7,5.1,60,7,315,3.0,7.2,5,1.7,78,High
23,Other,Self-employed,15.1,4.4,2.9,3.4,2.7,191,6,589,0.5,5.8,7,0.6,84,High
50,Other,Professional,16.9,4.6,3.2,2.4,5.8,205,32,402,0.8,5.7,9,0.3,87,High
13,Other,Professional,14.8,4.3,3.7,4.7,1.0,30,41,536,1.9,5.0,2,0.4,78,High
14,Other,Student,15.3,5.7,2.4,4.0,2.6,166,9,542,2.8,6.6,8,1.4,81,High
60,Male,Unemployed,8.6,1.8,3.4,1.7,0.1,206,13,269,0.8,8.1,10,1.6,73,Moderate
48,Other,Self-employed,7.8,1.5,0.9,2.6,1.9,92,36,92,0.3,4.0,6,0.8,73,Low
60,Female,Student,16.3,3.9,3.3,4.5,3.9,184,21,594,0.1,7.5,8,2.9,89,High
28,Female,Professional,8.1,3.8,0.9,0.6,1.4,157,15,65,0.5,6.5,8,2.4,67,Moderate
60,Female,Student,16.9,3.3,3.7,3.1,4.8,92,42,572,1.6,8.3,9,1.4,90,High
13,Other,Professional,5.4,0.5,1.3,1.5,0.9,52,39,157,3.5,6.6,6,0.5,77,Low
13,Female,Unemployed,12.0,3.6,0.7,0.8,6.0,224,51,367,0.2,8.4,7,2.7,80,High
39,Male,Professional,18.8,5.6,0.6,4.6,7.4,167,22,561,2.7,7.7,2,0.5,94,High
34,Other,Student,12.0,2.3,0.7,4.2,3.1,191,40,168,0.5,6.4,1,2.1,81,High
48,Female,Unemployed,14.1,5.8,1.8,1.3,4.2,94,23,50,2.0,5.5,4,1.9,81,High
43,Male,Professional,14.4,2.5,2.1,4.3,3.9,112,29,362,1.1,8.9,1,2.6,87,High
44,Male,Self-employed,13.3,1.3,3.7,1.2,6.3,130,50,122,3.4,5.0,9,1.0,85,High
12,Female,Professional,15.4,2.7,1.5,2.6,8.0,144,44,377,2.7,7.9,4,0.7,81,High
30,Male,Unemployed,15.0,3.2,0.9,3.8,5.9,143,35,556,1.2,7.4,1,1.3,82,High
13,Female,Student,13.4,4.0,3.0,2.9,1.7,32,27,261,2.0,6.1,1,2.6,78,High
64,Male,Unemployed,14.5,3.3,0.5,4.3,5.6,143,55,196,3.0,7.6,4,0.4,88,High
55,Other,Student,16.0,3.5,3.6,3.3,4.9,82,18,168,3.5,4.6,3,2.8,77,High
37,Other,Professional,7.2,0.6,1.6,2.4,1.7,161,31,336,2.5,5.2,1,2.0,79,Moderate
43,Other,Professional,12.5,1.9,2.5,4.7,1.9,220,39,71,2.5,7.6,3,0.2,75,High
17,Other,Unemployed,9.9,2.2,0.7,0.7,5.2,73,17,170,0.4,4.6,8,1.8,77,Moderate
43,Other,Self-employed,16.6,5.9,0.6,2.7,6.5,189,59,125,2.1,8.5,2,1.6,81,High
15,Female,Professional,15.9,2.1,3.2,3.5,6.1,185,40,132,3.3,7.0,6,1.9,87,High
22,Other,Self-employed,17.2,5.4,1.7,4.3,4.9,102,28,406,2.7,4.4,4,1.5,93,High
28,Other,Self-employed,17.9,2.2,3.9,2.9,7.5,125,37,309,0.2,7.8,2,2.4,83,High
